modello,tipologia,centro_costo
OPEL AGILA CD 805 RR,AUTO,Villa Ester
FIAT DUCATO ATTREZ EH 392 DG,PULMINO,Area Socio Assistenziale (Animatrici) Villa Parma
PANDA FF 465 XR,AUTO,PABLO
SPARK EF 648 TZ,AUTO,VILLA PARMA (Marianna)
FIAT DUCATO ATTREZ FF 892 KS,PULMINO,Villa Parma
DACIA GG 610 DV,AUTO,Villa Parma
PANDA GL 965 CY,AUTO,VIA SCOLA
FORD GR 040 HF,PULMINO,Villa Parma
FIAT DOBLO' ATTREZZATO GK 013 RZ,Progetti del Cuore,Casa dei Mille
FIAT DOBLO' ATTREZZATO GL 589 YA,Progetti del Cuore,PONTIROL B.
FIAT DUCATO ATTREZ FG 370 AZ,PULMINO AUSL,VIA PASUBIO
Fiat Doblò Attrezzato EA 428 BX,Progetti del Cuore,Villa Parma
Fiat Doblò Attrezzato EA 447 BX,Progetti del Cuore,VIA PASUBIO
PANDA FF 464 XR,AUTO,COLORNO
FIAT DUCATO ATTREZ FV 619 XP,PULMINO,COLORNO
FIAT IVECO FX 546 JW,TELONATO CON PEDANA ELETTRICA,LAVANDERIA
FIAT DUCATO AR 574 FY,,Squadra Tecnica
FORD GG 039 DR,PULMINO,VIA SCOLA
